漂洗剂                                                           010313
五倍子                                                           010319
脂肪漂白化学品                                                           010339
纺织品防水化学品                                                            010362
纺织品浸渍化学品                                                            010363
染色用润湿剂                                                            010398
染色用浸湿剂                                                            010398
纺织工业用漂白土                                                            010525
纺织工业用润湿剂                                                            010530
纺织工业用浸湿剂                                                            010530
染料助剂                                                            C010177
印染用保险粉                                                            C010178
印染用吊白粉                                                            C010179
固色剂                                                           C010180
印染用扩散剂                                                            C010181
印染用溶解盐                                                            C010182
印染用太古油                                                            C010183
印染用渗透剂                                                            C010184
增白剂                                                           C010185
漂毛粉                                                           C010186
防染盐                                                           C010187
印染用净洗剂                                                            C010188
匀染剂                                                           C010189
印染用海藻酸钠                                                           C010190
柔软剂                                                           C010191
防皱剂                                                           C010192
印染用整理剂                                                            C010193
纤维润滑剂                                                           C010194
混凝土用凝结剂                                                           010030
混凝土充气用化学品                                                           010116
混凝土用除油漆和油外的保护剂                                                            010117
除油漆外的水泥防水化学品                                                            010195
水泥用除油漆和油外的保护剂                                                           010196
石建筑用除油漆和油外的保护剂                                                            010380
砖建筑用除油漆和油外的保护剂                                                            010381
砖瓦用除油漆和油外的保护剂                                                           010540
除油漆外的砖石建筑防潮化学品                                                            010617
易燃制剂(发动机燃料用化学添加剂)                                                           010001
发动机燃料化学添加剂                                                            010020
汽车燃料化学添加剂                                                           010020
汽油净化添加剂                                                           010021
喷雾器用气体推进剂                                                           010026
内燃机抗爆剂                                                            010071
防冻剂                                                           010072
引擎脱碳用化学品                                                            010089
液压循环用传动液                                                            010197
油分离化学品                                                            010233
燃料节省剂                                                           010257
制动液                                                           010315
刹车液                                                           010315
石油分散剂                                                           010351
油分散剂                                                            010352
油漂白化学品                                                            010353
油净化化学品                                                            010354
油脂分离剂                                                           010604
吸油用合成材料                                                           010620
动力转向液                                                           010643
传动液                                                           010644
引擎冷却剂用抗沸剂                                                           010645
运载工具引擎用冷却剂                                                            010647
油类用化学添加剂                                                            010654
传动油                                                           010706
起动液                                                           C010197
润闸液                                                           C010200
硅油乙基                                                            C010214
